주차장코드,주차장명,주소,주차장 종류,주차장 종류명,운영구분,운영구분명,전화번호,총 주차면,유무료구분,유무료구분명,야간무료개방여부,야간무료개방여부명,평일 운영 시작시각(HHMM),평일 운영 종료시각(HHMM),최종데이터 동기화 시간,기본 주차 요금,기본 주차 시간(분 단위),추가 단위 요금,추가 단위 시간(분 단위),일 최대 요금,구,행정동
1012254,마들스타디움(근린공원)(구),노원구 상계동 770-2,NW,노외 주차장,1,시간제 주차장,02-2289-6735,177,Y,유료,N,야간 미개방,0,2400,2019-06-10 09:36:13,150.0,5.0,150.0,5.0,11000.0,노원구,상계동
1013181,마장동공영주차장(구),성동구 마장동 463-2,NW,노외 주차장,1,시간제 주차장,,53,N,무료,N,야간 미개방,0,0,2020-04-28 15:30:10,,,,,,성동구,마장동
1025696,당산근린공원 공영(구),영등포구 당산동3가 385-0,NW,노외 주차장,1,시간제 주차장,02-2677-1401,190,Y,유료,N,야간 미개방,0,2400,2020-08-11 16:45:02,150.0,5.0,150.0,5.0,0.0,영등포구,당산동3가
1025697,대림운동장(구),영등포구 대림동 780-0,NW,노외 주차장,1,시간제 주차장,02-2677-1401,192,Y,유료,N,야간 미개방,0,2400,2020-08-11 17:44:08,50.0,5.0,50.0,5.0,,영등포구,대림동
1028245,방학동 도깨비시장 공영주차장(구),도봉구 방학동 632-1,NW,노외 주차장,3,시간제 + 거주자 주차장,02-901-5100,80,Y,유료,N,야간 미개방,900,2200,2019-09-07 13:33:57,100.0,5.0,100.0,5.0,0.0,도봉구,방학동
1033590,신림동공영주차장(구),관악구 신림동 1456-3,NW,노외 주차장,3,시간제 + 거주자 주차장,02-2081-2675,191,Y,유료,N,야간 미개방,0,2400,2019-06-10 09:36:15,250.0,5.0,250.0,5.0,0.0,관악구,신림동
1034344,수유2동 공영주차장(구),강북구 수유동 660-30,NW,노외 주차장,1,시간제 주차장,02-900-7443,62,Y,유료,N,야간 미개방,0,2400,2019-06-10 09:33:48,150.0,5.0,150.0,5.0,10000.0,강북구,수유동
1034345,송중동(임시)공영주차장(구),강북구 미아동 860-123,NW,노외 주차장,1,시간제 주차장,02-988-1283,6,Y,유료,N,야간 미개방,0,2400,2019-06-10 09:33:48,200.0,5.0,200.0,5.0,10000.0,강북구,미아동
1037569,바람개비주차장(구),양천구 목동 919-8,NW,노외 주차장,1,시간제 주차장,02-2644-1386,186,Y,유료,N,야간 미개방,900,1900,2020-09-02 15:46:30,150.0,5.0,150.0,5.0,9000.0,양천구,목동
1037932,구로디지털단지역 공영주차장(시),구로구 구로동 810-3,NW,노외 주차장,1,시간제 주차장,02-2290-6034,93,Y,유료,N,야간 미개방,0,2400,2021-10-06 17:59:24,260.0,5.0,260.0,5.0,0.0,구로구,구로동
1040011,상계2동 공영주차장(구),노원구 상계동 373-13,NW,노외 주차장,1,시간제 주차장,02-931-2758,108,Y,유료,N,야간 미개방,0,2400,2019-06-10 09:35:52,150.0,5.0,150.0,5.0,11000.0,노원구,상계동
1040225,논현로22길(시),강남구 개포동 1266-0,NW,노외 주차장,1,시간제 주차장,02-2176-0907,97,Y,유료,N,야간 미개방,0,2400,2020-07-08 18:08:02,200.0,5.0,200.0,5.0,,강남구,개포동
1041839,신당동 공영주차장(구),중구 신당동 300-6,NW,노외 주차장,3,시간제 + 거주자 주차장,02-2280-8368,75,Y,유료,N,야간 미개방,0,2400,2021-05-26 14:46:37,200.0,5.0,200.0,5.0,0.0,중구,신당동
1041840,남산동 공영주차장(구),중구 남산동2가 30-4,NW,노외 주차장,3,시간제 + 거주자 주차장,02-2280-8368,49,Y,유료,N,야간 미개방,0,2400,2021-05-26 13:36:41,250.0,5.0,250.0,5.0,0.0,중구,남산동2가
1041991,불암산 공영주차장(구),노원구 중계동 26-0,NW,노외 주차장,1,시간제 주차장,,39,Y,유료,N,야간 미개방,0,0,2021-01-21 17:13:56,150.0,5.0,150.0,5.0,,노원구,중계동
1042406,삼성1문화센터 공영주차장(구),강남구 삼성동 161-2,NW,노외 주차장,1,시간제 주차장,02-2176-0910,70,Y,유료,N,야간 미개방,0,2400,2020-07-07 18:19:30,400.0,5.0,400.0,5.0,,강남구,삼성동
